Time Step,Label Index,Name (NA),Voxel count,Volume (µm³),Equivalent Spherical Diameter (µm),Aspect Ratio,Center Of Mass X (µm),Center Of Mass Y (µm),Center Of Mass Z (µm),Particle Radius Min (µm),Particle Radius Max (µm),Particle Radius Mean (µm),Sphericity
0,16248,,1602.0,1602000.0000000005,145.17370582942758,0.7536119793149868,6736.335830212235,10645.599250936331,11224.687890137331,52.03823852693751,86.44687273238623,73.04968620764508,0.9784282436845232
0,16245,,1387.0,1387000.0000000005,138.36490404812514,0.7727701633107019,4250.27397260274,10627.281903388612,8730.71377072819,50.245076322034414,110.40860774778298,70.7741874422585,0.939704390466825
0,16240,,1308.0,1308000.0000000002,135.68641683192504,0.846520172391559,2038.922018348624,8217.698776758412,9359.923547400613,54.483937313260085,78.83097895666708,68.12060711804928,0.9823141355635124
0,16237,,1282.0,1282000.0000000005,134.78134966165362,0.8338436485678633,3236.560062402497,4030.702028081124,12386.66146645866,56.14997472099961,79.20424924201231,67.63348449673963,0.9808338608095204
0,16235,,1261.0,1261000.0000000005,134.04135871310368,0.6457653461485329,5521.022997620937,10621.157811260906,9841.911181601905,46.16279095228317,88.33694591267295,68.48774104200858,0.9407481433311576
0,16231,,1223.0,1223000.0000000002,132.68116563480615,0.7780362327420555,7115.380212591987,7276.410466067048,11745.928045789044,51.92517172841751,79.22599645912888,66.76700575207215,0.9711632519138874
0,16224,,1134.0,1134000.0000000002,129.38129013208223,0.9206108121031168,11967.301587301588,1626.640211640212,12196.79012345679,56.97516617444235,73.00591825510261,64.84803791587149,0.991333355620051
0,16218,,1054.0,1054000.0000000005,126.26432543208516,0.3675290771053728,12091.309297912716,6918.681214421254,11341.423149905126,28.74576844548333,156.67539275463471,74.37180000946624,0.7862256760928764
0,16216,,995.0,995000.0000000003,123.86296908321808,0.7964915023635589,2144.964824120603,3144.412060301508,8586.38190954774,47.32088710088789,72.78566145576107,62.3938004890569,0.9690794207256844
0,16215,,994.0,994000.0000000002,123.82146004221325,0.8406025777379047,2103.038229376258,3157.897384305836,12687.987927565391,51.309867709353775,73.16467892462562,62.19359802987165,0.9790400210850496
